Table Name,State Code,Distt Code,State Name,Area,Age,Total Person,Total Males,Total Females,Illiterate Person,Illiterate Males,Illiterate Females,Literate Person,Literate Males,Literate Females,Literate without educational level Person,Literate without educational level Males,Literate without educational level Females,Below primary Person,Below primary Males,Below primary Females,Primary Person,Primary Males,Primary Females,Middle Person,Middle Males,Middle Females,Secondary Person,Secondary Males,Secondary Females,Higher secondary Person,Higher Secondary Males,Higher Secondary Females,Non-technical diploma Person,Non-technical diploma Males,Non-technical diploma Females,Technical diploma Person,Technical diploma Males,Technical diploma Females,Graduate Person,Graduate Males,Graduate Females,Unclassified Person,Unclassified Males,Unclassified Females,Year
C2508SC,33,0,TAMIL NADU,Total,All ages,11857504,5932925,5924579,5348143,2160641,3187502,6509361,3772284,2737077,591838,350232,241606,1295732,695086,600646,2073972,1185264,888708,1197638,682798,514840,824361,516165,308196,303591,181093,122498,2729,1943,786,40618,35185,5433,178845,124491,54354,37,27,10,1991
C2508SC,34,0,PONDICHERRY,Total,All ages,157771,78140,79631,63715,25418,38297,94056,52722,41334,1408,843,565,16808,8851,7957,29064,15145,13919,22105,12232,9873,13462,8286,5176,4794,2802,1992,102,78,24,1397,1120,277,4916,3365,1551,0,0,0,1991
C2308,1,0,JAMMU & KASHMIR,Total,All ages,10143700,5360926,4782774,5336414,2300298,3036116,4807286,3060628,1746658,246932,135290,111642,860480,496517,363963,1031707,617935,413772,1074049,710489,363560,914050,638612,275438,339163,225426,113737,1087,807,280,7493,6317,1176,331548,228649,102899,777,586,191,2001
C2308,2,0,HIMACHAL PRADESH,Total,All ages,6077900,3087940,2989960,2036279,809554,1226725,4041621,2278386,1763235,59560,30710,28850,816877,440504,376373,1109971,562768,547203,690693,391813,298880,812699,508847,303852,289868,171923,117945,6172,2692,3480,34456,24401,10055,220770,144396,76374,555,332,223,2001
C2308,3,0,PUNJAB,Total,All ages,24358999,12985045,11373954,9602029,4542752,5059277,14756970,8442293,6314677,245444,125467,119977,2705535,1538004,1167531,3785055,1997111,1787944,2498421,1480902,1017519,3251624,1995039,1256585,1151238,672735,478503,19906,8343,11563,129741,81951,47790,966747,540747,426000,3259,1994,1265,2001
C2308,4,0,CHANDIGARH,Total,All ages,900635,506938,393697,257390,124252,133138,643245,382686,260559,5945,3444,2501,88518,50888,37630,115349,66155,49194,90111,55766,34345,124607,79197,45410,69718,41533,28185,1223,359,864,8854,5966,2888,138441,79120,59321,479,258,221,2001
C2308,5,0,UTTARAKHAND,Total,All ages,8489349,4325924,4163425,3383567,1317049,2066518,5105782,3008875,2096907,109432,60951,48481,1156890,625981,530909,1275501,696187,579314,977893,613423,364470,643644,423212,220432,458895,283781,175114,1481,1018,463,20619,16852,3767,460155,286826,173329,1272,644,628,2001
C2308,6,0,HARYANA,Total,All ages,21144564,11363953,9780611,9050887,3883744,5167143,12093677,7480209,4613468,169982,93084,76898,2687232,1541553,1145679,3226643,1854447,1372196,2018523,1275057,743466,2239510,1559586,679924,831595,555791,275804,16446,6768,9678,103467,76712,26755,798689,516179,282510,1590,1032,558,2001
C2308,7,0,DELHI,Total,All ages,13850507,7607234,6243273,4185743,1906387,2279356,9664764,5700847,3963917,96319,54600,41719,1534913,852975,681938,1967466,1093728,873738,1531690,929152,602538,1691495,1077847,613648,1027524,618977,408547,8747,5019,3728,42848,31481,11367,1761915,1035757,726158,1847,1311,536,2001
C2308,8,0,RAJASTHAN,Total,All ages,56507188,29420011,27087177,28805178,11372854,17432324,27702010,18047157,9654853,1745915,864680,881235,8994262,5247851,3746411,7047927,4591114,2456813,4330343,3163807,1166536,2903808,2190474,713334,1168642,871281,297361,7034,5456,1578,32231,26280,5951,1471813,1086184,385629,35,30,5,2001
C2308,9,0,UTTAR PRADESH,Total,All ages,166197921,87565369,78632552,90478637,38663956,51814681,75719284,48901413,26817871,3272335,1961714,1310621,19226939,11278968,7947971,18694554,11368153,7326401,14329834,9819868,4509966,9121682,6561958,2559724,5961518,4205753,1755765,30477,21973,8504,95153,83190,11963,4969397,3588610,1380787,17395,11226,6169,2001
C2308,10,0,BIHAR,Total,All ages,82998509,43243795,39754714,51888932,22599419,29289513,31109577,20644376,10465201,1715049,1109731,605318,7890329,4754137,3136192,8334709,5130917,3203792,4390226,3012151,1378075,4751560,3439918,1311642,1826093,1385282,440811,24989,20088,4901,48532,40458,8074,2109415,1737651,371764,18675,14043,4632,2001
C2308,11,0,SIKKIM,Total,All ages,540851,288484,252367,222516,99424,123092,318335,189060,129275,7680,5504,2176,109121,63583,45538,84475,48077,36398,47836,27788,20048,35862,22157,13705,18132,11421,6711,46,38,8,654,555,99,14348,9761,4587,181,176,5,2001
