Table Name,State Code,Distt Code,State Name,Area,Age,Total Person,Total Males,Total Females,Illiterate Person,Illiterate Males,Illiterate Females,Literate Person,Literate Males,Literate Females,Literate without educational level Person,Literate without educational level Males,Literate without educational level Females,Below primary Person,Below primary Males,Below primary Females,Primary Person,Primary Males,Primary Females,Middle Person,Middle Males,Middle Females,Secondary Person,Secondary Males,Secondary Females,Higher secondary Person,Higher Secondary Males,Higher Secondary Females,Non-technical diploma Person,Non-technical diploma Males,Non-technical diploma Females,Technical diploma Person,Technical diploma Males,Technical diploma Females,Graduate Person,Graduate Males,Graduate Females,Unclassified Person,Unclassified Males,Unclassified Females,Year
C2508SC,0,0,INDIA,Rural,55-59,3400487,1601788,1798699,2557855,916541,1641314,842632,685247,157385,83124,54373,28751,296922,229350,67572,244085,202058,42027,99017,87864,11153,74651,69467,5184,19812,18798,1014,152,121,31,5012,4225,787,19731,18877,854,126,114,12,1991
C2508SC,0,0,INDIA,Rural,60-64,3633397,1784436,1848961,2946695,1208142,1738553,686702,576294,110408,85262,57955,27307,267224,218893,48331,196750,171477,25273,67105,61362,5743,48000,45548,2452,10153,9609,544,93,80,13,3127,2714,413,8898,8574,324,90,82,8,1991
C2508SC,0,0,INDIA,Rural,65-69,2482529,1176356,1306173,2040023,804218,1235805,442506,372138,70368,56420,37842,18578,197187,164021,33166,119452,105320,14132,36491,33646,2845,23260,22216,1044,4558,4287,271,35,25,10,1345,1167,178,3712,3575,137,46,39,7,1991
C2508SC,0,0,INDIA,Rural,70-74,1839478,962611,876867,1545006,710583,834423,294472,252028,42444,41501,29025,12476,133092,115632,17460,78852,70093,8759,22271,20124,2147,13056,12088,968,2930,2555,375,39,36,3,648,563,85,2054,1884,170,29,28,1,1991
C2508SC,0,0,INDIA,Rural,75-79,725062,363098,361964,596879,255486,341393,128183,107612,20571,16139,11007,5132,57213,49330,7883,33649,29168,4481,11446,9799,1647,6719,5784,935,1667,1357,310,18,16,2,243,206,37,1069,931,138,20,14,6,1991
C2508SC,0,0,INDIA,Rural,80+,921114,460674,460440,764306,335500,428806,156808,125174,31634,21728,14151,7577,67751,54694,13057,39361,32878,6483,14683,12132,2551,8258,7019,1239,2621,2191,430,17,13,4,257,210,47,2109,1864,245,23,22,1,1991
C2508SC,0,0,INDIA,Rural,Age not stated,341347,185420,155927,201756,94661,107095,139591,90759,48832,62685,39157,23528,29601,17930,11671,22268,14848,7420,12532,9061,3471,6989,5376,1613,3222,2458,764,14,10,4,191,162,29,2063,1744,319,26,13,13,1991
C2508SC,0,0,INDIA,Urban,All ages,33624822,17485418,16139404,14112803,5876416,8236387,19512019,11609002,7903017,558380,313973,244407,4630422,2545919,2084503,5358112,3025140,2332972,3581804,2189196,1392608,2748203,1745557,1002646,1354980,865105,489875,11934,8224,3710,128244,100416,27828,1138096,814190,323906,1844,1282,562,1991
C2508SC,0,0,INDIA,Urban,0-6,4981693,2589195,2392498,4981693,2589195,2392498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1991
C2508SC,0,0,INDIA,Urban,7,756940,390488,366452,235290,115305,119985,521650,275183,246467,6399,3578,2821,515159,271557,243602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,48,44,1991
C2508SC,0,0,INDIA,Urban,8,962985,502187,460798,226515,108303,118212,736470,393884,342586,6724,3785,2939,729675,390053,339622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,46,25,1991
C2508SC,0,0,INDIA,Urban,9,664811,341169,323642,100784,45946,54838,564027,295223,268804,3560,1913,1647,507315,266491,240824,53118,26797,26321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,22,12,1991
C2508SC,0,0,INDIA,Urban,10,1100761,584489,516272,190503,88604,101899,910258,495885,414373,7250,4106,3144,621717,341910,279807,281250,149846,131404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,23,18,1991
C2508SC,0,0,INDIA,Urban,11,643730,335912,307818,69153,30210,38943,574577,305702,268875,3569,1929,1640,231743,126822,104921,339241,176941,162300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,10,14,1991
